rank,name,region
1,University of Oxford,United Kingdom
2,Harvard University,United States
3,University of Cambridge,United Kingdom
4,Imperial College London,United Kingdom
5,Johns Hopkins University,United States
=6,Stanford University,United States
=6,Yale University,United States
8,UCL,United Kingdom
9,University of Toronto,Canada
10,University of Pennsylvania,United States
11,University of California  Berkeley,United States
12,King’s College London,United Kingdom
13,Karolinska Institute,Sweden
14,University of California  Los Angeles,United States
15,Tsinghua University,China
16,Columbia University,United States
17,National University of Singapore,Singapore
18,University of Michigan-Ann Arbor,United States
19,University of Washington,United States
20,University of Melbourne,Australia
=21,University of Edinburgh,United Kingdom
=21,University of Hong Kong,Hong Kong
23,Duke University,United States
24,The Chinese University of Hong Kong,Hong Kong
25,Peking University,China
26,The University of Chicago,United States
27,The University of Tokyo,Japan
28,University of British Columbia,Canada
29,McGill University,Canada
30,University of North Carolina at Chapel Hill,United States
31,Monash University,Australia
=32,Charité - Universitätsmedizin Berlin,Germany
=32,Washington University in St Louis,United States
34,University of California  San Diego,United States
35,The University of Sydney,Australia
36,Boston University,United States
37,University of Amsterdam,Netherlands
38,Universität Heidelberg,Germany
39,McMaster University,Canada
40,Fudan University,China
41,KU Leuven,Belgium
42,ETH Zurich,Switzerland
43,Emory University,United States
44,Seoul National University,South Korea
45,LMU Munich,Germany
=46,Kyoto University,Japan
=46,Northwestern University,United States
48,University of Manchester,United Kingdom
49,New York University,United States
=50,Sungkyunkwan University (SKKU),South Korea
=50,University of Glasgow,United Kingdom
52,Erasmus University Rotterdam,Netherlands
53,Technical University of Munich,Germany
=54,University of Bristol,United Kingdom
=54,University of Southern California,United States
56,Shanghai Jiao Tong University,China
57,The University of Queensland,Australia
58,Maastricht University,Netherlands
59,Vanderbilt University,United States
60,Yonsei University (Seoul campus),South Korea
61,Brown University,United States
62,Leiden University,Netherlands
63,University of Groningen,Netherlands
64,University of Copenhagen,Denmark
65,University of Minnesota,United States
66,University of Birmingham,United Kingdom
=67,University of Bern,Switzerland
=67,University of Pittsburgh-Pittsburgh campus,United States
69,Queen Mary University of London,United Kingdom
70,The University of Osaka,Japan
=71,University of California  Davis,United States
