rank,name,region
1,옥스퍼드 대학교,영국  
2,하버드 대학교,미국  
3,케임브리지 대학교,영국  
4,임페리얼 칼리지 런던,영국  
5,존스 홉킨스 대학교,미국  
6,스탠퍼드 대학교,미국  
6,예일 대학교,미국  
8,유니버시티 칼리지 런던,영국  
9,토론토 대학교,캐나다  
10,펜실베이니아 대학교,미국  
11,캘리포니아 대학교 버클리,미국  
12,킹스 칼리지 런던,영국  
13,카롤린스카 연구소,스웨덴  
14,캘리포니아 대학교 로스앤젤레스,미국  
15,칭화대학교,중국  
16,컬럼비아 대학교,미국  
17,싱가포르국립대학교,싱가포르  
18,미시간 대학교 앤아버,미국  
19,워싱턴 대학교,미국  
20,멜버른 대학교,호주  
21,에든버러 대학교,영국  
21,홍콩 대학교,홍콩  
23,듀크 대학교,미국  
24,홍콩 중문대학교,홍콩  
25,베이징대학교,중국  
26,시카고 대학교,미국  
27,도쿄 대학교,일본  
28,브리티시컬럼비아 대학교,캐나다  
29,맥길 대학교,캐나다  
30,노스캐롤라이나 대학교 채플힐,미국  
31,모나시 대학교,호주  
32,샤리테 베를린 의과대학,독일  
32,워싱턴 대학교 세인트루이스,미국  
34,캘리포니아 대학교 샌디에이고,미국  
35,시드니 대학교,호주  
36,보스턴 대학교,미국  
37,암스테르담 대학교,네덜란드  
38,하이델베르크 대학교,독일  
39,맥마스터 대학교,캐나다  
40,푸단대학교,중국  
41,루벤 가톨릭 대학교,벨기에  
42,취리히 연방 공과대학교,스위스  
43,에모리 대학교,미국  
44,서울대학교,대한민국  
45,뮌헨 루트비히 막시밀리안 대학교,독일  
46,교토대학교,일본  
46,노스웨스턴 대학교,미국  
48,맨체스터 대학교,영국  
49,뉴욕 대학교,미국  
50,성균관대학교,대한민국  
50,글래스고 대학교,영국  
52,에라스무스 로테르담 대학교,네덜란드  
53,뮌헨 공과대학교,독일  
54,브리스톨 대학교,영국  
54,서던캘리포니아 대학교,미국  
56,상하이 자오퉁 대학교,중국  
57,퀸즐랜드 대학교,호주  
58,마스트리흐트 대학교,네덜란드  
59,밴더빌트 대학교,미국  
60,연세대학교,대한민국  
61,브라운 대학교,미국  
62,라이덴 대학교,네덜란드  
63,흐로닝언 대학교,네덜란드  
64,코펜하겐 대학교,덴마크  
65,미네소타 대학교,미국  
66,버밍엄 대학교,영국  
67,베른 대학교,스위스  
